Département,Espérance de vie des hommes à la naissance (années) 2015,Espérance de vie des femmes à la naissance (années)  2015, Disparité de niveau de vie (Rapport interdécile) 2014,Taux de pauvreté (%) (1)  2014,Part des jeunes non insérés (%)  2014, Part de la population éloignée de plus de 7 mn des services de santé de proximité (%)  2016, Part de la population éloignée de plus de 7 mn des services de santé de proximité (%) 2013
Ain,"80,4","85,5","3,44926563155686","10,8137036166249","21,9183562262726","10,1",5
Aisne,"76,5","83,2","3,20070478739732","18,7336991330415","34,031053595565","17,4","5,6"
Allier,"78,1","84,5","3,0683020880338","15,4128742761684","26,1187434841393","18,9","7,7"
Alpes-de-Haute-Provence,"78,9","85,3","3,31562223737718","16,9666199371045","28,2743492021727","17,6","24,2"
Hautes-Alpes,"80,1","85,3","3,05986394557823","14,4730097826724","22,208551120982","22,6",17
Alpes-Maritimes,"79,6","85,7","3,83677665720161","15,955909195052","23,0671967248884","2,8","28,4"
Ardèche,"79,1","84,8","3,02855816113304","14,693909218587","26,941295812714","19,5","6,3"
Ardennes,"77,1","84,1","3,19287495277673","19,4360913938494","33,0591703821252","13,4","12,3"
Ariège,"79,3","84,9","3,22159453379445","18,1511242469957","30,7640240236497","20,5","15,8"
Aube,"78,6","84,1","3,20619675349718","15,6038296958662","27,0488295918988","16,9","11,2"
Aude,"78,7","85,2","3,35776263893869","21,7483878817374","35,4451130471141","10,4","19,8"
Aveyron,"80,2","85,5","3,02274324884843","14,2011525042794","20,3631960117461",24,"6,7"
Bouches-du-Rhône,"79,4","85,1","3,89559735475161","18,6408231755966","24,5610809061537","0,3","13,5"
Calvados,"78,1",85,"3,06131741821397","12,8167563253946","21,0349091489949","9,6","6,5"
Cantal,"78,8","84,2","2,94213391191808","14,3569760041528","19,9585306059336","30,6","3,5"
Charente,"78,5","85,2","3,12729203760972","14,8970267471175","26,71998601302","14,9","5,3"
Charente-Maritime,"78,2","85,4","3,16157402187394","13,5648501935768","25,4749019269044","9,2","8,3"
Cher,78,"84,2","3,09001941747573","14,6022447385313","27,5718744097936","15,9","6,5"
Corrèze,"78,5","84,9","2,97141659932358","13,5696631685193","21,9458959747177","19,2","6,4"
Corse-du-Sud,"79,7","85,2","3,62332887700535","17,7105584225343","28,6156157798366","17,3","12,7"
Haute-Corse,"79,6","85,9","3,76752111423915","22,5084599273021","27,113684380404","18,4","46,4"
Côte-d'Or,"79,7","85,4","3,11090827958298","11,3885385876852","17,3229349931084","14,7","8,2"
Côtes-d'Armor,"77,7","84,8","2,89416929913798","11,7110108265006","22,5934987264022","9,3","1,1"
Creuse,"77,6","84,6","3,09999775260698","18,9414064897376","25,9010583205353","35,6","0,9"
Dordogne,"78,7","84,9","3,15339733571482","16,3822333578384","30,0608386694244","20,4","6,4"
Doubs,"79,1","85,7","3,28099725719108","12,4631309530901","19,3045655604516","11,3","7,7"
Drôme,"79,7","85,7","3,25693585242156","15,5103240531994","26,615104461468",8,"10,6"
Eure,"77,7","84,4","3,04171285399742","12,7602002016165","28,6973604046031","16,5","9,9"
Eure-et-Loir,"79,1",85,"3,02027001112262","11,8300425996216","25,8907179706154","15,4",7
Finistère,"77,2","84,4","2,84115388589916","10,352091771758","20,5071561742802","4,6","1,3"
Gard,"78,9","85,1","3,54069520983468","20,2542353001243","29,2703390042201","6,2","41,2"
Haute-Garonne,81,"86,1","3,53015402843602","12,6385894104605","17,8846425626706",4,"12,6"
Gers,"80,5","84,3","3,18515294564041","15,0301397216303","23,2560119366197",28,"8,5"
Gironde,"79,6","85,5","3,3174659352327","12,6092856741078","20,0085840193868","2,8","7,7"
Hérault,"79,4","85,6","3,71003576309609","19,8151031637883","24,29718915746","2,1","14,7"
Ille-et-Vilaine,"79,7","85,5","2,96979253112033","10,4697314712331","15,7838831277187","4,6","2,2"
